Invoice Date,Capacity Rating,Energy Rating,Invoice Quantity,Sales Zone,Sales Location,Sales Channel,Sales Margin,Unnamed: 0,date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,day_of_week,month,is_weekend,sales_lag_1,temp_lag_1
2023-04-29,1.5,3,5,East,PTA,General Trade,0.15,116784.0,2023-04-29,0.655339742200025,0.4841733043225835,0.5714285714285714,0.643640674319456,0.0,0.0,0.0,0.0,1007.6,983.131,0.624,0.0,54.0,100.0,7.9932966,18.584509,234.16226,225.78473,5.04,0.8333333333333333,0.2727272727272727,1.0,4.0,0.6294497770760735
2023-04-30,1.5,3,3,East,PTA,General Trade,0.15,116808.0,2023-04-30,0.6585759878405191,0.5941541780230883,0.6515679442508712,0.6987731797176749,0.0,0.0,0.0,0.0,1007.3,982.84625,0.9000001000000001,0.0,100.0,100.0,1.0182338,5.4833565,44.999897,66.801384,17.28,1.0,0.2727272727272727,1.0,5.0,0.655339742200025
2023-04-10,1.5,3,6,West,PNE,General Trade,0.15,116328.0,2023-04-10,0.5873785513871957,0.21314912568508548,0.26132404181184665,0.5325222105005517,0.0,0.0,0.0,0.0,1012.4,987.64154,0.21900002000000002,0.0,0.0,73.0,3.8268526,2.8799999,228.81418,90.0,12.599999,0.0,0.2727272727272727,0.0,2.0,0.4466018660257087
2023-04-10,1.5,3,5,West,PNE,General Trade,0.15,116328.0,2023-04-10,0.5873785513871957,0.21314912568508548,0.26132404181184665,0.5325222105005517,0.0,0.0,0.0,0.0,1012.4,987.64154,0.21900002000000002,0.0,0.0,73.0,3.8268526,2.8799999,228.81418,90.0,12.599999,0.0,0.2727272727272727,0.0,6.0,0.5873785513871957
2023-04-10,1.5,3,10,West,PNE,General Trade,0.15,116328.0,2023-04-10,0.5873785513871957,0.21314912568508548,0.26132404181184665,0.5325222105005517,0.0,0.0,0.0,0.0,1012.4,987.64154,0.21900002000000002,0.0,0.0,73.0,3.8268526,2.8799999,228.81418,90.0,12.599999,0.0,0.2727272727272727,0.0,5.0,0.5873785513871957
2023-04-11,1.5,3,5,West,PNE,General Trade,0.15,116352.0,2023-04-11,0.5194173929368227,0.35682413878793146,0.33449480836236933,0.46856666210651043,0.0,0.0,0.0,0.0,1011.2,986.2962,0.012,0.0,0.0,4.0,9.178235,19.513195,311.82007,322.4958,13.679999,0.16666666666666666,0.2727272727272727,0.0,10.0,0.5873785513871957
2023-04-11,1.5,3,20,West,PNE,General Trade,0.15,116352.0,2023-04-11,0.5194173929368227,0.35682413878793146,0.33449480836236933,0.46856666210651043,0.0,0.0,0.0,0.0,1011.2,986.2962,0.012,0.0,0.0,4.0,9.178235,19.513195,311.82007,322.4958,13.679999,0.16666666666666666,0.2727272727272727,0.0,5.0,0.5194173929368227
2023-04-14,1.5,3,3,West,PNE,General Trade,0.15,116424.0,2023-04-14,0.5889967065698991,0.443380979518268,0.47386763066202087,0.5639484351640199,0.0,0.0,0.0,0.0,1008.5,983.84125,0.297,0.0,0.0,99.0,7.5170207,10.383987,286.6993,326.3099,12.599999,0.6666666666666666,0.2727272727272727,0.0,20.0,0.5194173929368227
2023-04-25,1.5,3,3,North,JMU,Modern Trade,0.15,116688.0,2023-04-25,0.5582523729852065,0.44493650561090364,0.4442508710801394,0.5143308329489805,0.0,0.0,0.0,0.0,1012.3,987.4694,0.0,0.0,0.0,0.0,11.808878,24.458813,127.568665,132.61403,18.0,0.16666666666666666,0.2727272727272727,0.0,5.0,0.7022653039871875
2023-04-27,1.5,3,19,North,JMU,General Trade,0.15,116736.0,2023-04-27,0.6456310052785432,0.3719795359291604,0.4721254355400697,0.608880416636343,0.0,0.0,0.0,0.0,1006.8,982.3259,0.111,0.0,4.0,29.0,7.9526596,17.057314,185.19434,187.27492,13.679999,0.5,0.2727272727272727,0.0,3.0,0.5582523729852065
2023-04-27,1.5,3,3,North,JMU,General Trade,0.15,116736.0,2023-04-27,0.6456310052785432,0.3719795359291604,0.4721254355400697,0.608880416636343,0.0,0.0,0.0,0.0,1006.8,982.3259,0.111,0.0,4.0,29.0,7.9526596,17.057314,185.19434,187.27492,13.679999,0.5,0.2727272727272727,0.0,19.0,0.6456310052785432
2023-04-05,1.5,3,1,North,JMU,General Trade,0.15,116208.0,2023-04-05,0.4174756552612633,0.8571385573412129,0.5487804878048781,0.43613192125473627,0.0,0.0,0.0,0.0,1009.5,984.37115,0.0,0.0,0.0,0.0,8.825508,15.629971,281.76825,308.45374,11.5199995,0.3333333333333333,0.2727272727272727,0.0,3.0,0.6456310052785432
2023-04-17,1.5,3,5,North,JMU,General Trade,0.15,116496.0,2023-04-17,0.7022653039871875,0.31792466839911954,0.4790940766550522,0.6477634542600784,0.0,0.0,0.0,0.0,1005.9,981.5894,0.072000003,0.0,12.0,0.0,10.483357,12.324414,254.05453,263.29025,14.04,0.0,0.2727272727272727,0.0,1.0,0.4174756552612633
