"Invoice Date","Capacity Rating","Energy Rating","Invoice Quantity","Sales Zone","Sales Location","Sales Channel","Sales Margin"
"10/30/2023","1.5","3","5","North","JPR","General Trade","15%"
"10/30/2023","1.5","3","10","North","JPR","General Trade","15%"
"10/17/2023","1.5","3","5","North","LKW","General Trade","15%"
"10/19/2023","1.5","3","2","North","LKW","General Trade","15%"
"10/20/2023","1.5","3","2","North","LKW","General Trade","15%"
"10/25/2023","1.5","3","10","North","LKW","Modern Trade","15%"
"10/27/2023","1.5","3","8","North","LKW","General Trade","15%"
"10/27/2023","1.5","3","2","North","LKW","General Trade","15%"
"10/28/2023","1.5","3","1","North","LKW","Modern Trade","15%"
"10/29/2023","1.5","3","16","North","LKW","General Trade","15%"
"10/5/2023","1.5","3","5","South","HBI","General Trade","15%"
"10/7/2023","1.5","3","1","South","HBI","General Trade","15%"
"10/8/2023","1.5","3","2","South","HBI","General Trade","15%"
"10/8/2023","1.5","3","1","South","HBI","General Trade","15%"
"10/8/2023","1.5","3","2","South","HBI","General Trade","15%"
"10/10/2023","1.5","3","5","South","HBI","General Trade","15%"
"10/12/2023","1.5","3","4","South","HBI","Modern Trade","15%"
"10/13/2023","1.5","3","25","South","HBI","General Trade","15%"
"10/13/2023","1.5","3","10","South","HBI","General Trade","15%"
"10/13/2023","1.5","3","2","South","HBI","General Trade","15%"
"10/17/2023","1.5","3","2","South","HBI","General Trade","15%"
"10/26/2023","1.5","3","2","South","HBI","General Trade","15%"
"10/27/2023","1.5","3","10","South","HBI","Modern Trade","15%"
"10/28/2023","1.5","3","10","South","HBI","General Trade","15%"
"10/28/2023","1.5","3","2","South","HBI","General Trade","15%"
"10/11/2023","1.5","3","12","South","HBI","General Trade","15%"
"10/17/2023","1.5","3","2","South","HBI","General Trade","15%"
"10/17/2023","1.5","3","2","South","HBI","General Trade","15%"
"10/17/2023","1.5","3","3","South","HBI","General Trade","15%"
"10/17/2023","1.5","3","15","South","HBI","General Trade","15%"
"10/18/2023","1.5","3","2","South","HBI","General Trade","15%"
"10/18/2023","1.5","3","2","South","HBI","General Trade","15%"
"10/18/2023","1.5","3","3","South","HBI","General Trade","15%"
"10/18/2023","1.5","3","4","South","HBI","General Trade","15%"
"10/18/2023","1.5","3","10","South","HBI","General Trade","15%"
"10/21/2023","1.5","3","8","South","HBI","General Trade","15%"
"10/24/2023","1.5","3","3","South","HBI","General Trade","15%"
"10/26/2023","1.5","3","3","South","HBI","General Trade","15%"
"10/26/2023","1.5","3","3","South","HBI","General Trade","15%"
"10/29/2023","1.5","3","3","South","HBI","General Trade","15%"
"10/7/2023","1.5","3","3","South","KCI","Modern Trade","15%"
"10/9/2023","1.5","3","4","South","KCI","Modern Trade","15%"
"10/9/2023","1.5","3","4","South","KCI","Modern Trade","15%"
"10/14/2023","1.5","3","10","South","KCI","General Trade","15%"
"10/19/2023","1.5","3","5","South","KCI","Modern Trade","15%"
"10/30/2023","1.5","3","5","South","KCI","General Trade","15%"
"10/5/2023","1.5","3","1","South","MDI","General Trade","15%"
"10/16/2023","1.5","3","3","South","MDI","General Trade","15%"
"10/16/2023","1.5","3","25","South","MDI","General Trade","15%"
"10/16/2023","1.5","3","20","South","MDI","General Trade","15%"
"10/18/2023","1.5","3","2","South","MDI","General Trade","15%"
"10/19/2023","1.5","3","1","South","MDI","General Trade","15%"
"10/21/2023","1.5","3","2","South","MDI","General Trade","15%"
"10/21/2023","1.5","3","5","South","MDI","General Trade","15%"
"10/21/2023","1.5","3","2","South","MDI","General Trade","15%"
"10/21/2023","1.5","3","2","South","MDI","General Trade","15%"
"10/21/2023","1.5","3","2","South","MDI","General Trade","15%"
"10/21/2023","1.5","3","2","South","MDI","General Trade","15%"
"10/21/2023","1.5","3","2","South","MDI","General Trade","15%"
"10/21/2023","1.5","3","20","South","MDI","General Trade","15%"
"10/21/2023","1.5","3","3","South","MDI","General Trade","15%"
"10/21/2023","1.5","3","2","South","MDI","General Trade","15%"
"10/21/2023","1.5","3","2","South","MDI","General Trade","15%"
"10/24/2023","1.5","3","2","South","MDI","General Trade","15%"
"10/24/2023","1.5","3","8","South","MDI","General Trade","15%"
"10/25/2023","1.5","3","2","South","MDI","General Trade","15%"
"10/26/2023","1.5","3","2","South","MDI","General Trade","15%"
"10/26/2023","1.5","3","2","South","MDI","General Trade","15%"
"10/26/2023","1.5","3","5","South","MDI","General Trade","15%"
"10/27/2023","1.5","3","2","South","MDI","General Trade","15%"
"10/27/2023","1.5","3","2","South","MDI","General Trade","15%"
"10/27/2023","1.5","3","2","South","MDI","General Trade","15%"
"10/27/2023","1.5","3","1","South","MDI","General Trade","15%"
"10/27/2023","1.5","3","2","South","MDI","General Trade","15%"
"10/28/2023","1.5","3","5","South","MDI","General Trade","15%"
"10/28/2023","1.5","3","2","South","MDI","General Trade","15%"
"10/28/2023","1.5","3","4","South","MDI","General Trade","15%"
"10/28/2023","1.5","3","1","South","MDI","General Trade","15%"
"10/28/2023","1.5","3","3","South","MDI","General Trade","15%"
"10/28/2023","1.5","3","3","South","MDI","General Trade","15%"
"10/28/2023","1.5","3","3","South","MDI","General Trade","15%"
"10/28/2023","1.5","3","5","South","MDI","General Trade","15%"
"10/28/2023","1.5","3","2","South","MDI","General Trade","15%"
"10/28/2023","1.5","3","3","South","MDI","General Trade","15%"
"10/28/2023","1.5","3","20","South","MDI","General Trade","15%"
"10/29/2023","1.5","3","1","South","MDI","General Trade","15%"
"10/29/2023","1.5","3","2","South","MDI","General Trade","15%"
"10/29/2023","1.5","3","1","South","MDI","General Trade","15%"
"10/29/2023","1.5","3","1","South","MDI","General Trade","15%"
"10/30/2023","1.5","3","1","South","MDI","General Trade","15%"
"10/3/2023","1.5","3","30","South","KCI","General Trade","15%"
"10/31/2023","1.5","3","3","East","DGP","General Trade","15%"
"10/31/2023","1.5","3","20","East","DGP","General Trade","15%"
"10/31/2023","1.5","3","20","East","DGP","General Trade","15%"
"10/31/2023","1.5","3","20","East","DGP","General Trade","15%"
"10/31/2023","1.5","3","10","East","DGP","General Trade","15%"
"10/31/2023","1.5","3","3","West","PNE","General Trade","15%"
"10/31/2023","1.5","3","20","North","DLI","General Trade","15%"
"10/31/2023","1.5","3","20","North","DLI","General Trade","15%"
"10/31/2023","1.5","3","20","North","DLI","General Trade","15%"
"10/31/2023","1.5","3","20","North","DLI","General Trade","15%"
"10/31/2023","1.5","3","20","North","DLI","General Trade","15%"
"10/31/2023","1.5","3","20","North","DLI","General Trade","15%"
"10/31/2023","1.5","3","20","North","DLI","General Trade","15%"
"10/31/2023","1.5","3","20","North","DLI","General Trade","15%"
"10/31/2023","1.5","3","20","North","DLI","General Trade","15%"
"10/31/2023","1.5","3","20","North","DLI","General Trade","15%"
"10/31/2023","1.5","3","20","North","JPR","General Trade","15%"
"10/31/2023","1.5","3","20","North","JPR","General Trade","15%"
"10/31/2023","1.5","3","10","North","JPR","General Trade","15%"
"10/31/2023","1.5","3","2","South","HBI","General Trade","15%"
"10/31/2023","1.5","3","4","South","HBI","General Trade","15%"
"10/31/2023","1.5","3","10","South","HBI","General Trade","15%"
"10/31/2023","1.5","3","3","South","HBI","General Trade","15%"
"10/31/2023","1.5","3","10","South","MDI","General Trade","15%"
"10/31/2023","1.5","3","1","South","MDI","General Trade","15%"
"10/31/2023","1.5","3","10","South","MDI","General Trade","15%"
"11/2/2023","1.5","3","2","East","DGP","General Trade","15%"
"11/3/2023","1.5","3","2","East","DGP","General Trade","15%"
"11/4/2023","1.5","3","1","East","DGP","General Trade","15%"
"11/4/2023","1.5","3","2","East","DGP","General Trade","15%"
"11/5/2023","1.5","3","1","East","DGP","General Trade","15%"
"11/5/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/5/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/5/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/5/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/5/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/7/2023","1.5","3","10","East","DGP","General Trade","15%"
"11/7/2023","1.5","3","1","East","DGP","General Trade","15%"
"11/8/2023","1.5","3","2","East","DGP","General Trade","15%"
"11/11/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/11/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/11/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/11/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/11/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/11/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/13/2023","1.5","3","2","East","DGP","General Trade","15%"
"11/13/2023","1.5","3","1","East","DGP","General Trade","15%"
"11/13/2023","1.5","3","1","East","DGP","General Trade","15%"
"11/14/2023","1.5","3","3","East","DGP","General Trade","15%"
"11/14/2023","1.5","3","1","East","DGP","General Trade","15%"
"11/14/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/14/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/14/2023","1.5","3","10","East","DGP","General Trade","15%"
"11/16/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/16/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/16/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/16/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/16/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/16/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/16/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/16/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/16/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/16/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/16/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/16/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/16/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/17/2023","1.5","3","3","East","DGP","General Trade","15%"
"11/20/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/20/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/20/2023","1.5","3","10","East","DGP","General Trade","15%"
"11/27/2023","1.5","3","4","East","DGP","General Trade","15%"
"11/27/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/27/2023","1.5","3","25","East","DGP","General Trade","15%"
"11/29/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/29/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/29/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/29/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/29/2023","1.5","3","20","East","DGP","General Trade","15%"
"11/30/2023","1.5","3","4","East","DGP","General Trade","15%"
"11/30/2023","1.5","3","14","East","DGP","General Trade","15%"
"11/30/2023","1.5","3","65","East","DGP","General Trade","15%"
"11/5/2023","1.5","3","6","East","PTA","General Trade","15%"
"11/6/2023","1.5","3","1","East","PTA","General Trade","15%"
"11/7/2023","1.5","3","4","East","PTA","General Trade","15%"
"11/7/2023","1.5","3","10","East","PTA","General Trade","15%"
"11/10/2023","1.5","3","2","East","PTA","General Trade","15%"
"11/14/2023","1.5","3","2","East","PTA","General Trade","15%"
"11/27/2023","1.5","3","5","East","PTA","General Trade","15%"
"11/29/2023","1.5","3","6","East","PTA","General Trade","15%"
"11/29/2023","1.5","3","6","East","PTA","General Trade","15%"
"11/29/2023","1.5","3","6","East","PTA","General Trade","15%"
"11/29/2023","1.5","3","6","East","PTA","General Trade","15%"
"11/29/2023","1.5","3","6","East","PTA","General Trade","15%"
"11/1/2023","1.5","3","2","West","PNE","General Trade","15%"
"11/2/2023","1.5","3","1","West","PNE","General Trade","15%"
"11/2/2023","1.5","3","1","West","PNE","General Trade","15%"
"11/3/2023","1.5","3","15","West","PNE","General Trade","15%"
"11/4/2023","1.5","3","5","West","PNE","General Trade","15%"
"11/4/2023","1.5","3","8","West","PNE","General Trade","15%"
"11/9/2023","1.5","3","10","West","PNE","General Trade","15%"
"11/11/2023","1.5","3","6","West","PNE","General Trade","15%"
"11/11/2023","1.5","3","10","West","PNE","General Trade","15%"
"11/11/2023","1.5","3","1","West","PNE","General Trade","15%"
"11/15/2023","1.5","3","3","West","PNE","General Trade","15%"
"11/25/2023","1.5","3","10","West","PNE","General Trade","15%"
"11/25/2023","1.5","3","1","West","PNE","General Trade","15%"
"11/25/2023","1.5","3","1","West","PNE","General Trade","15%"
"11/25/2023","1.5","3","4","West","PNE","General Trade","15%"
"11/25/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/28/2023","1.5","3","13","West","PNE","General Trade","15%"
"11/28/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/28/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/28/2023","1.5","3","15","West","PNE","General Trade","15%"
"11/28/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/29/2023","1.5","3","4","West","PNE","General Trade","15%"
"11/29/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/29/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/29/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/29/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/29/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/29/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/29/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/29/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/29/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/29/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/30/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/30/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/30/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/30/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/30/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/30/2023","1.5","3","12","West","PNE","General Trade","15%"
"11/30/2023","1.5","3","4","West","PNE","General Trade","15%"
"11/30/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/30/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/30/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/30/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/30/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/30/2023","1.5","3","12","West","PNE","General Trade","15%"
"11/30/2023","1.5","3","12","West","PNE","General Trade","15%"
"11/30/2023","1.5","3","12","West","PNE","General Trade","15%"
"11/30/2023","1.5","3","12","West","PNE","General Trade","15%"
"11/30/2023","1.5","3","12","West","PNE","General Trade","15%"
"11/30/2023","1.5","3","12","West","PNE","General Trade","15%"
"11/30/2023","1.5","3","12","West","PNE","General Trade","15%"
"11/8/2023","1.5","3","2","West","PNE","General Trade","15%"
"11/22/2023","1.5","3","1","West","PNE","General Trade","15%"
"11/25/2023","1.5","3","5","West","PNE","General Trade","15%"
"11/28/2023","1.5","3","15","West","PNE","General Trade","15%"
"11/28/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/28/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/29/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/30/2023","1.5","3","20","West","PNE","General Trade","15%"
"11/29/2023","1.5","3","200","North","DLI","General Trade","15%"
"11/29/2023","1.5","3","200","North","DLI","General Trade","15%"
"11/30/2023","1.5","3","200","North","DLI","General Trade","15%"
"11/30/2023","1.5","3","200","North","DLI","General Trade","15%"
"11/30/2023","1.5","3","50","East","DGP","General Trade","15%"
"11/8/2023","1.5","3","10","North","JMU","General Trade","15%"
"11/9/2023","1.5","3","1","North","JMU","Modern Trade","15%"
"11/29/2023","1.5","3","25","North","JMU","General Trade","15%"
"11/29/2023","1.5","3","25","North","JMU","General Trade","15%"
"11/29/2023","1.5","3","25","North","JMU","General Trade","15%"
"11/29/2023","1.5","3","25","North","JMU","General Trade","15%"
"11/29/2023","1.5","3","25","North","JMU","General Trade","15%"
"11/29/2023","1.5","3","25","North","JMU","General Trade","15%"
"11/29/2023","1.5","3","20","North","JMU","General Trade","15%"
"11/29/2023","1.5","3","20","North","JMU","General Trade","15%"
"11/29/2023","1.5","3","20","North","JMU","General Trade","15%"
"11/29/2023","1.5","3","20","North","JMU","General Trade","15%"
"11/29/2023","1.5","3","19","North","JMU","General Trade","15%"
"11/30/2023","1.5","3","20","North","JMU","General Trade","15%"
"11/30/2023","1.5","3","20","North","JMU","General Trade","15%"
"11/30/2023","1.5","3","10","North","JMU","General Trade","15%"
"11/3/2023","1.5","3","20","North","DLI","General Trade","15%"
"11/3/2023","1.5","3","20","North","DLI","General Trade","15%"
"11/3/2023","1.5","3","20","North","DLI","General Trade","15%"
"11/3/2023","1.5","3","20","North","DLI","General Trade","15%"
"11/3/2023","1.5","3","20","North","DLI","General Trade","15%"
"11/6/2023","1.5","3","7","North","DLI","General Trade","15%"
"11/7/2023","1.5","3","10","North","DLI","General Trade","15%"
"11/7/2023","1.5","3","10","North","DLI","General Trade","15%"
"11/11/2023","1.5","3","3","North","DLI","General Trade","15%"
"11/15/2023","1.5","3","10","North","DLI","General Trade","15%"
"11/15/2023","1.5","3","10","North","DLI","General Trade","15%"
"11/18/2023","1.5","3","1","North","DLI","General Trade","15%"
"11/18/2023","1.5","3","19","North","DLI","General Trade","15%"
"11/21/2023","1.5","3","20","North","DLI","General Trade","15%"
"11/21/2023","1.5","3","10","North","DLI","General Trade","15%"
"11/21/2023","1.5","3","20","North","DLI","General Trade","15%"
"11/21/2023","1.5","3","20","North","DLI","General Trade","15%"
"11/21/2023","1.5","3","20","North","DLI","General Trade","15%"
"11/21/2023","1.5","3","20","North","DLI","General Trade","15%"
"11/21/2023","1.5","3","20","North","DLI","General Trade","15%"
"11/21/2023","1.5","3","20","North","DLI","General Trade","15%"
"11/26/2023","1.5","3","5","North","DLI","General Trade","15%"
"11/26/2023","1.5","3","20","North","DLI","General Trade","15%"
"11/4/2023","1.5","3","2","North","GRN","General Trade","15%"
"11/4/2023","1.5","3","3","North","GRN","General Trade","15%"
"11/4/2023","1.5","3","7","North","GRN","Modern Trade","15%"
"11/6/2023","1.5","3","5","North","GRN","General Trade","15%"
"11/7/2023","1.5","3","5","North","GRN","General Trade","15%"
"11/7/2023","1.5","3","4","North","GRN","General Trade","15%"
"11/7/2023","1.5","3","10","North","GRN","General Trade","15%"
"11/7/2023","1.5","3","7","North","GRN","General Trade","15%"
"11/8/2023","1.5","3","5","North","GRN","Modern Trade","15%"
"11/8/2023","1.5","3","10","North","GRN","General Trade","15%"
"11/10/2023","1.5","3","5","North","GRN","General Trade","15%"
"11/10/2023","1.5","3","2","North","GRN","General Trade","15%"
"11/15/2023","1.5","3","2","North","GRN","General Trade","15%"
"11/15/2023","1.5","3","10","North","GRN","General Trade","15%"
"11/15/2023","1.5","3","1","North","GRN","General Trade","15%"
"11/15/2023","1.5","3","5","North","GRN","General Trade","15%"
"11/15/2023","1.5","3","10","North","GRN","General Trade","15%"
"11/16/2023","1.5","3","15","North","GRN","General Trade","15%"
"11/16/2023","1.5","3","4","North","GRN","General Trade","15%"
"11/17/2023","1.5","3","1","North","GRN","General Trade","15%"
"11/18/2023","1.5","3","5","North","GRN","General Trade","15%"
"11/18/2023","1.5","3","2","North","GRN","Modern Trade","15%"
"11/18/2023","1.5","3","10","North","GRN","General Trade","15%"
"11/20/2023","1.5","3","25","North","GRN","General Trade","15%"
"11/20/2023","1.5","3","1","North","GRN","General Trade","15%"
"11/20/2023","1.5","3","2","North","GRN","Modern Trade","15%"
"11/22/2023","1.5","3","10","North","GRN","General Trade","15%"
"11/24/2023","1.5","3","20","North","GRN","General Trade","15%"
"11/24/2023","1.5","3","10","North","GRN","General Trade","15%"
"11/24/2023","1.5","3","1","North","GRN","General Trade","15%"
"11/25/2023","1.5","3","5","North","GRN","General Trade","15%"
"11/26/2023","1.5","3","10","North","GRN","Modern Trade","15%"
"11/26/2023","1.5","3","2","North","GRN","Modern Trade","15%"
"11/28/2023","1.5","3","16","North","GRN","General Trade","15%"
"11/28/2023","1.5","3","15","North","GRN","General Trade","15%"
"11/28/2023","1.5","3","40","North","GRN","Modern Trade","15%"
"11/28/2023","1.5","3","45","North","GRN","Modern Trade","15%"
"11/28/2023","1.5","3","5","North","GRN","Modern Trade","15%"
"11/28/2023","1.5","3","5","North","GRN","Modern Trade","15%"
"11/28/2023","1.5","3","6","North","GRN","General Trade","15%"
"11/29/2023","1.5","3","5","North","GRN","Modern Trade","15%"
"11/29/2023","1.5","3","5","North","GRN","Modern Trade","15%"
"11/29/2023","1.5","3","1","North","GRN","General Trade","15%"
"11/29/2023","1.5","3","5","North","GRN","Modern Trade","15%"
"11/29/2023","1.5","3","5","North","GRN","Modern Trade","15%"
"11/29/2023","1.5","3","5","North","GRN","Modern Trade","15%"
"11/29/2023","1.5","3","5","North","GRN","Modern Trade","15%"
"11/29/2023","1.5","3","5","North","GRN","Modern Trade","15%"
"11/29/2023","1.5","3","5","North","GRN","Modern Trade","15%"
"11/29/2023","1.5","3","5","North","GRN","Modern Trade","15%"
"11/29/2023","1.5","3","20","North","GRN","General Trade","15%"
"11/29/2023","1.5","3","50","North","GRN","General Trade","15%"
"11/29/2023","1.5","3","50","North","GRN","General Trade","15%"
"11/29/2023","1.5","3","30","North","GRN","General Trade","15%"
"11/29/2023","1.5","3","50","North","GRN","General Trade","15%"
"11/29/2023","1.5","3","5","North","GRN","Modern Trade","15%"
"11/29/2023","1.5","3","5","North","GRN","Modern Trade","15%"
"11/30/2023","1.5","3","20","North","GRN","Modern Trade","15%"
"11/30/2023","1.5","3","6","North","GRN","General Trade","15%"
"11/30/2023","1.5","3","5","North","GRN","Modern Trade","15%"
"11/30/2023","1.5","3","8","North","GRN","General Trade","15%"
"11/6/2023","1.5","3","10","North","GZB","General Trade","15%"
"11/15/2023","1.5","3","15","North","GZB","General Trade","15%"
"11/16/2023","1.5","3","10","North","GZB","General Trade","15%"
"11/22/2023","1.5","3","3","North","GZB","General Trade","15%"
"11/23/2023","1.5","3","3","North","GZB","Modern Trade","15%"
"11/23/2023","1.5","3","5","North","GZB","General Trade","15%"
"11/4/2023","1.5","3","10","North","JPR","General Trade","15%"
"11/4/2023","1.5","3","2","North","JPR","General Trade","15%"
"11/6/2023","1.5","3","2","North","JPR","General Trade","15%"
"11/6/2023","1.5","3","1","North","JPR","General Trade","15%"
"11/7/2023","1.5","3","1","North","JPR","General Trade","15%"
"11/8/2023","1.5","3","1","North","JPR","Modern Trade","15%"
"11/9/2023","1.5","3","2","North","JPR","General Trade","15%"
"11/9/2023","1.5","3","2","North","JPR","General Trade","15%"
"11/9/2023","1.5","3","50","North","JPR","General Trade","15%"
"11/10/2023","1.5","3","5","North","JPR","General Trade","15%"
"11/17/2023","1.5","3","10","North","JPR","General Trade","15%"
"11/17/2023","1.5","3","2","North","JPR","Modern Trade","15%"
"11/17/2023","1.5","3","5","North","JPR","General Trade","15%"
"11/18/2023","1.5","3","1","North","JPR","Modern Trade","15%"
"11/18/2023","1.5","3","1","North","JPR","General Trade","15%"
"11/18/2023","1.5","3","5","North","JPR","General Trade","15%"
"11/20/2023","1.5","3","1","North","JPR","General Trade","15%"
"11/21/2023","1.5","3","5","North","JPR","General Trade","15%"
"11/21/2023","1.5","3","1","North","JPR","General Trade","15%"
"11/24/2023","1.5","3","2","North","JPR","General Trade","15%"
"11/24/2023","1.5","3","110","North","JPR","General Trade","15%"
"11/24/2023","1.5","3","50","North","JPR","General Trade","15%"
"11/26/2023","1.5","3","110","North","JPR","General Trade","15%"
"11/27/2023","1.5","3","20","North","JPR","General Trade","15%"
"11/27/2023","1.5","3","20","North","JPR","General Trade","15%"
"11/27/2023","1.5","3","20","North","JPR","General Trade","15%"
"11/27/2023","1.5","3","8","North","JPR","General Trade","15%"
"11/27/2023","1.5","3","20","North","JPR","General Trade","15%"
"11/27/2023","1.5","3","20","North","JPR","General Trade","15%"
"11/27/2023","1.5","3","20","North","JPR","General Trade","15%"
"11/27/2023","1.5","3","20","North","JPR","General Trade","15%"
"11/27/2023","1.5","3","20","North","JPR","General Trade","15%"
"11/27/2023","1.5","3","20","North","JPR","General Trade","15%"
"11/28/2023","1.5","3","2","North","JPR","General Trade","15%"
"11/28/2023","1.5","3","1","North","JPR","General Trade","15%"
"11/28/2023","1.5","3","60","North","JPR","General Trade","15%"
"11/28/2023","1.5","3","10","North","JPR","Modern Trade","15%"
"11/28/2023","1.5","3","15","North","JPR","Modern Trade","15%"
"11/29/2023","1.5","3","60","North","JPR","General Trade","15%"
"11/29/2023","1.5","3","60","North","JPR","General Trade","15%"
"11/29/2023","1.5","3","60","North","JPR","General Trade","15%"
"11/29/2023","1.5","3","70","North","JPR","General Trade","15%"
"11/29/2023","1.5","3","10","North","JPR","General Trade","15%"
"11/29/2023","1.5","3","20","North","JPR","General Trade","15%"
"11/29/2023","1.5","3","20","North","JPR","General Trade","15%"
"11/29/2023","1.5","3","10","North","JPR","General Trade","15%"
"11/29/2023","1.5","3","20","North","JPR","General Trade","15%"
"11/29/2023","1.5","3","20","North","JPR","General Trade","15%"
"11/29/2023","1.5","3","20","North","JPR","General Trade","15%"
"11/29/2023","1.5","3","20","North","JPR","General Trade","15%"
"11/29/2023","1.5","3","20","North","JPR","General Trade","15%"
"11/29/2023","1.5","3","20","North","JPR","General Trade","15%"
"11/29/2023","1.5","3","20","North","JPR","General Trade","15%"
"11/29/2023","1.5","3","20","North","JPR","General Trade","15%"
"11/29/2023","1.5","3","5","North","JPR","General Trade","15%"
"11/29/2023","1.5","3","4","North","JPR","General Trade","15%"
"11/29/2023","1.5","3","2","North","JPR","Modern Trade","15%"
"11/4/2023","1.5","3","1","North","LKW","General Trade","15%"
"11/7/2023","1.5","3","3","North","LKW","General Trade","15%"
"11/9/2023","1.5","3","3","North","LKW","General Trade","15%"
"11/18/2023","1.5","3","1","North","LKW","General Trade","15%"
"11/18/2023","1.5","3","1","North","LKW","General Trade","15%"
"11/20/2023","1.5","3","3","North","LKW","General Trade","15%"
"11/21/2023","1.5","3","2","North","LKW","General Trade","15%"
"11/24/2023","1.5","3","2","North","LKW","General Trade","15%"
"11/28/2023","1.5","3","2","North","LKW","General Trade","15%"
"11/25/2023","1.5","3","120","North","JMU","General Trade","15%"
"11/25/2023","1.5","3","15","North","JMU","General Trade","15%"
"11/28/2023","1.5","3","105","North","JMU","General Trade","15%"
"11/28/2023","1.5","3","30","North","JMU","General Trade","15%"
"11/28/2023","1.5","3","90","North","JMU","General Trade","15%"
"11/28/2023","1.5","3","45","North","JMU","General Trade","15%"
"11/30/2023","1.5","3","95","North","JPR","General Trade","15%"
"11/30/2023","1.5","3","30","North","JMU","General Trade","15%"
"11/4/2023","1.5","3","9","South","HBI","General Trade","15%"
"11/7/2023","1.5","3","3","South","HBI","General Trade","15%"
"11/7/2023","1.5","3","11","South","HBI","General Trade","15%"
"11/8/2023","1.5","3","1","South","HBI","General Trade","15%"
"11/10/2023","1.5","3","2","South","HBI","General Trade","15%"
"11/12/2023","1.5","3","1","South","HBI","General Trade","15%"
"11/12/2023","1.5","3","2","South","HBI","General Trade","15%"
"11/14/2023","1.5","3","1","South","HBI","General Trade","15%"
"11/18/2023","1.5","3","10","South","HBI","General Trade","15%"
"11/19/2023","1.5","3","2","South","HBI","General Trade","15%"
"11/20/2023","1.5","3","10","South","HBI","General Trade","15%"
"11/20/2023","1.5","3","10","South","HBI","General Trade","15%"
"11/22/2023","1.5","3","2","South","HBI","General Trade","15%"
"11/22/2023","1.5","3","5","South","HBI","General Trade","15%"
"11/22/2023","1.5","3","1","South","HBI","General Trade","15%"
"11/23/2023","1.5","3","12","South","HBI","General Trade","15%"
"11/24/2023","1.5","3","2","South","HBI","General Trade","15%"
"11/25/2023","1.5","3","2","South","HBI","General Trade","15%"
"11/25/2023","1.5","3","3","South","HBI","General Trade","15%"
