"Invoice Date","Capacity Rating","Energy Rating","Invoice Quantity","Sales Zone","Sales Location","Sales Channel","Sales Margin"
"2/26/2023","1","3","50","South","KCI","General Trade","20%"
"2/26/2023","1","3","65","South","KCI","General Trade","20%"
"2/26/2023","1","3","60","South","KCI","General Trade","20%"
"2/26/2023","1","3","23","South","HBI","General Trade","20%"
"2/26/2023","1","3","100","South","KCI","General Trade","20%"
"2/26/2023","1","3","30","North","LKW","General Trade","20%"
"2/27/2023","1","3","5","North","DLI","General Trade","20%"
"2/27/2023","1","3","25","South","KCI","General Trade","20%"
"2/27/2023","1","3","25","South","KCI","General Trade","20%"
"2/27/2023","1","3","25","South","KCI","General Trade","20%"
"2/27/2023","1","3","10","North","DLI","General Trade","20%"
"2/27/2023","1","3","25","South","KCI","General Trade","20%"
"2/27/2023","1","3","20","South","KCI","General Trade","20%"
"2/27/2023","1","3","5","South","KCI","General Trade","20%"
"2/27/2023","1","3","2","South","KCI","General Trade","20%"
"2/27/2023","1","3","3","South","KCI","General Trade","20%"
"2/27/2023","1","3","50","South","MDI","General Trade","20%"
"2/27/2023","1","3","20","North","LKW","General Trade","20%"
"2/27/2023","1","3","10","South","KCI","General Trade","20%"
"2/27/2023","1","3","10","South","KCI","General Trade","20%"
"2/27/2023","1","3","18","South","KCI","General Trade","20%"
"2/27/2023","1","3","10","South","KCI","General Trade","20%"
"2/27/2023","1","3","4","South","KCI","General Trade","20%"
"2/27/2023","1","3","80","South","KCI","General Trade","20%"
"2/27/2023","1","3","15","South","KCI","General Trade","20%"
"2/27/2023","1","3","75","West","PNE","General Trade","20%"
"2/27/2023","1","3","25","South","KCI","General Trade","20%"
"2/27/2023","1","3","25","South","KCI","General Trade","20%"
"2/27/2023","1","3","5","South","KCI","General Trade","20%"
"2/27/2023","1","3","25","South","KCI","General Trade","20%"
"2/27/2023","1","3","10","South","KCI","General Trade","20%"
"2/28/2023","1","3","10","South","KCI","General Trade","20%"
"2/28/2023","1","3","15","South","KCI","General Trade","20%"
"2/28/2023","1","3","20","South","KCI","General Trade","20%"
"2/28/2023","1","3","20","South","KCI","General Trade","20%"
"2/28/2023","1","3","10","South","KCI","General Trade","20%"
"2/28/2023","1","3","10","South","KCI","General Trade","20%"
"2/28/2023","1","3","10","South","KCI","General Trade","20%"
"2/28/2023","1","3","15","South","KCI","General Trade","20%"
"2/28/2023","1","3","30","South","KCI","General Trade","20%"
"2/28/2023","1","3","3","South","KCI","General Trade","20%"
"2/28/2023","1","3","20","South","KCI","General Trade","20%"
"2/28/2023","1","3","8","North","GRN","General Trade","20%"
"2/28/2023","1","3","30","South","KCI","General Trade","20%"
"2/28/2023","1","3","75","South","KCI","General Trade","20%"
"2/28/2023","1","3","10","South","KCI","General Trade","20%"
"2/28/2023","1","3","2","East","DGP","General Trade","20%"
"2/28/2023","1","3","2","East","DGP","General Trade","20%"
"2/28/2023","1","3","5","South","HBI","General Trade","20%"
"2/28/2023","1","3","15","West","PNE","General Trade","20%"
"2/28/2023","1","3","10","South","HBI","General Trade","20%"
"2/28/2023","1","3","30","South","KCI","General Trade","20%"
"2/28/2023","1","3","5","West","PNE","General Trade","20%"
"2/28/2023","1","3","20","West","PNE","General Trade","20%"
"2/28/2023","1","3","10","South","MDI","General Trade","20%"
"2/28/2023","1","3","10","South","MDI","General Trade","20%"
"2/28/2023","1","3","20","South","MDI","General Trade","20%"
"2/28/2023","1","3","11","South","HBI","General Trade","20%"
"2/28/2023","1","3","1","South","HBI","General Trade","20%"
"2/28/2023","1","3","2","South","HBI","General Trade","20%"
"2/28/2023","1","3","2","South","HBI","General Trade","20%"
"2/28/2023","1","3","2","South","HBI","General Trade","20%"
"2/28/2023","1","3","10","South","HBI","General Trade","20%"
"2/28/2023","1","3","5","South","HBI","General Trade","20%"
"2/28/2023","1","3","5","South","HBI","General Trade","20%"
"2/28/2023","1","3","25","South","HBI","General Trade","20%"
"2/28/2023","1","3","10","South","KCI","General Trade","20%"
"2/28/2023","1","3","10","South","KCI","General Trade","20%"
"2/28/2023","1","3","5","South","KCI","General Trade","20%"
"2/28/2023","1","3","20","West","PNE","General Trade","20%"
"2/28/2023","1","3","25","West","PNE","General Trade","20%"
"2/28/2023","1","3","25","West","PNE","General Trade","20%"
"2/28/2023","1","3","5","South","KCI","General Trade","20%"
"2/28/2023","1","3","10","South","KCI","General Trade","20%"
"2/28/2023","1","3","2","North","GRN","Modern Trade","20%"
"2/28/2023","1","3","10","South","KCI","General Trade","20%"
"2/28/2023","1","3","10","South","KCI","General Trade","20%"
"2/28/2023","1","3","5","South","KCI","General Trade","20%"
"2/28/2023","1","3","15","South","KCI","General Trade","20%"
"2/28/2023","1","3","2","West","PNE","General Trade","20%"
