Invoice Date,Invoice Quantity,Sales Zone,Sales Location,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,pressure_msl,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m
2023-04-19,9,South,Hubli,23.095499,98.2,22.7955,0.0,1009.8,940.3615,22.5,4.32,270.0
2023-04-19,10,South,Hubli,23.095499,98.2,22.7955,0.0,1009.8,940.3615,22.5,4.32,270.0
2023-04-19,1,South,Hubli,23.095499,98.2,22.7955,0.0,1009.8,940.3615,22.5,4.32,270.0
2023-04-21,1,South,Hubli,22.7955,92.38672,21.4955,0.0,1007.8,938.43176,90.0,7.69592,259.21576
2023-04-17,2,South,Kochi,26.157,94.802155,25.257,0.0,1008.3,1007.3799,9.0,6.489992,70.559875
2023-04-17,2,South,Kochi,26.157,94.802155,25.257,0.0,1008.3,1007.3799,9.0,6.489992,70.559875
2023-04-17,30,South,Kochi,26.157,94.802155,25.257,0.0,1008.3,1007.3799,9.0,6.489992,70.559875
2023-04-18,20,South,Kochi,26.407,96.51425,25.807001,0.0,1009.2,1008.27966,13.5,2.3051248,51.34017
2023-04-19,10,South,Kochi,27.457,88.34645,25.357,0.0,1008.6,1007.6834,43.2,2.9024127,29.744795
2023-04-19,6,South,Kochi,27.457,88.34645,25.357,0.0,1008.6,1007.6834,43.2,2.9024127,29.744795
2023-04-19,10,South,Kochi,27.457,88.34645,25.357,0.0,1008.6,1007.6834,43.2,2.9024127,29.744795
2023-04-19,10,South,Kochi,27.457,88.34645,25.357,0.0,1008.6,1007.6834,43.2,2.9024127,29.744795
2023-04-19,7,South,Kochi,27.457,88.34645,25.357,0.0,1008.6,1007.6834,43.2,2.9024127,29.744795
2023-04-20,6,South,Kochi,26.257,93.68426,25.157,0.0,1007.0,1006.0814,56.1,3.6179552,95.7105
2023-04-24,7,South,Kochi,27.807001,88.11309,25.657,1.7,1007.5,1006.58563,36.9,4.1046314,15.255177
2023-04-17,15,South,Madurai,25.055,91.954636,23.655,0.0,1008.5,992.36505,0.0,1.4399999,360.0
2023-04-18,17,South,Madurai,25.505001,79.05182,21.605,0.0,1009.5,993.37305,0.0,3.5455887,66.037506
2023-04-18,8,South,Madurai,25.505001,79.05182,21.605,0.0,1009.5,993.37305,0.0,3.5455887,66.037506
2023-04-29,15,South,Madurai,24.255001,93.87547,23.205,0.0,1009.1,992.91235,46.2,4.32,270.0
2023-04-29,25,South,Madurai,24.255001,93.87547,23.205,0.0,1009.1,992.91235,46.2,4.32,270.0
2023-04-29,20,South,Madurai,24.255001,93.87547,23.205,0.0,1009.1,992.91235,46.2,4.32,270.0
2023-04-30,10,South,Madurai,23.505001,97.31883,23.055,0.1,1008.1,991.8879,98.7,2.8799999,90.0
2023-04-09,120,South,Kochi,26.207,96.79592,25.657,0.0,1011.9,1010.9766,51.3,6.12,28.072395
2023-04-09,20,South,Kochi,26.207,96.79592,25.657,0.0,1011.9,1010.9766,51.3,6.12,28.072395
2023-04-10,100,South,Madurai,24.305,88.35468,22.255001,0.0,1011.7,995.47345,7.2,6.9527545,21.25058
2023-04-11,100,South,Madurai,25.155,85.52562,22.555,0.0,1011.6,995.42084,90.0,5.154415,24.775122
2023-04-11,120,East,Durgapur,23.083,50.951683,12.383,0.0,1009.8,999.2685,5.4,6.8777895,317.1211
2023-04-11,40,East,Durgapur,23.083,50.951683,12.383,0.0,1009.8,999.2685,5.4,6.8777895,317.1211
2023-04-12,20,South,Kochi,26.157,94.802155,25.257,0.0,1010.5,1009.5779,3.2999997,3.2399998,90.0
2023-04-12,70,North,Jaipur,23.6045,29.25724,4.6545,0.0,1010.4,979.2308,0.0,9.3876505,274.39862
2023-04-13,76,South,Madurai,25.305,68.55454,19.105,0.0,1011.0,994.8385,0.0,1.609969,26.564985
