Invoice Date,Invoice Quantity,Sales Zone,Sales Location
4/22/2024,20,East,DGP
4/22/2024,10,East,DGP
4/22/2024,20,East,DGP
4/22/2024,20,East,DGP
4/22/2024,5,North,JPR
4/22/2024,5,North,JPR
4/22/2024,10,North,JPR
4/22/2024,20,North,JPR
4/22/2024,5,North,JPR
4/22/2024,20,North,JPR
4/22/2024,20,North,JPR
4/22/2024,10,North,JPR
4/22/2024,15,North,JPR
4/22/2024,6,North,JPR
4/22/2024,4,North,JPR
4/22/2024,5,North,JPR
4/22/2024,2,North,JPR
4/22/2024,3,North,JPR
4/23/2024,10,East,DGP
4/23/2024,10,North,JPR
4/23/2024,10,East,DGP
4/23/2024,15,North,JPR
4/23/2024,10,North,JPR
4/23/2024,15,North,GZB
4/23/2024,15,North,LKW
4/23/2024,75,North,JMU
4/23/2024,2,North,JPR
4/23/2024,2,North,JPR
4/23/2024,2,East,DGP
4/23/2024,150,North,GZB
4/23/2024,20,North,GZB
4/23/2024,20,North,GZB
4/23/2024,10,North,GZB
4/23/2024,5,East,DGP
4/23/2024,10,North,GRN
4/23/2024,3,North,GRN
4/23/2024,2,North,GRN
4/23/2024,6,North,GRN
4/23/2024,95,East,DGP
4/23/2024,5,South,MDI
4/23/2024,20,South,HBI
4/23/2024,5,South,HBI
4/23/2024,1,West,BHP
4/23/2024,12,West,BHP
4/24/2024,10,East,DGP
4/24/2024,10,East,DGP
4/24/2024,10,East,DGP
4/24/2024,10,East,DGP
4/24/2024,50,South,KCI
4/24/2024,20,North,JMU
4/24/2024,23,North,JMU
4/24/2024,20,North,GZB
4/24/2024,20,North,GZB
4/24/2024,12,North,JMU
4/24/2024,10,North,GZB
4/24/2024,20,East,DGP
4/24/2024,20,East,DGP
4/24/2024,20,East,DGP
4/24/2024,20,East,DGP
4/24/2024,20,East,DGP
4/24/2024,20,East,DGP
4/24/2024,20,East,DGP
4/24/2024,20,East,DGP
4/24/2024,20,North,JPR
4/24/2024,20,North,JPR
4/24/2024,10,North,JPR
4/24/2024,20,North,JPR
4/24/2024,10,North,JPR
4/24/2024,20,North,LKW
4/24/2024,20,North,LKW
4/24/2024,10,North,LKW
4/25/2024,3,South,HBI
4/25/2024,1,South,HBI
4/25/2024,20,North,JPR
4/25/2024,10,North,JPR
4/25/2024,20,East,DGP
4/25/2024,20,East,DGP
4/25/2024,10,East,DGP
4/25/2024,20,West,PNE
4/25/2024,10,West,PNE
4/25/2024,5,West,PNE
4/25/2024,150,North,JPR
4/25/2024,60,South,KCI
4/25/2024,50,East,DGP
4/25/2024,1,North,GZB
4/25/2024,1,North,GZB
4/25/2024,1,North,GZB
