Invoice Quantity,City,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,Day,Month,Weekday,Year,temperature_2m_7day_avg,relative_humidity_2m_7day_avg,wind_speed_10m_7day_avg
80,Durgapur,27.037166416666665,82.03878629166667,23.226749583333334,32.19601166666667,0.4541666666666666,0.4541666666666666,0.0,0.0,1006.2833333333332,995.924565,18.46250075833333,1.5833333333333333,15.208333333333334,26.375,6.0293220000000005,10.070149095833331,168.20517816666666,166.561252875,16.51499977083333,26,5,4,2023,30.850559196428573,66.414275625,9.600935405952384
120,Durgapur,27.037166416666665,82.03878629166667,23.226749583333334,32.19601166666667,0.4541666666666666,0.4541666666666666,0.0,0.0,1006.2833333333332,995.924565,18.46250075833333,1.5833333333333333,15.208333333333334,26.375,6.0293220000000005,10.070149095833331,168.20517816666666,166.561252875,16.51499977083333,26,5,4,2023,30.092225875,70.91872452380953,9.065616467857144
80,Durgapur,27.037166416666665,82.03878629166667,23.226749583333334,32.19601166666667,0.4541666666666666,0.4541666666666666,0.0,0.0,1006.2833333333332,995.924565,18.46250075833333,1.5833333333333333,15.208333333333334,26.375,6.0293220000000005,10.070149095833331,168.20517816666666,166.561252875,16.51499977083333,26,5,4,2023,29.427047321428567,73.33185661309524,8.552872633333333
80,Durgapur,27.037166416666665,82.03878629166667,23.226749583333334,32.19601166666667,0.4541666666666666,0.4541666666666666,0.0,0.0,1006.2833333333332,995.924565,18.46250075833333,1.5833333333333333,15.208333333333334,26.375,6.0293220000000005,10.070149095833331,168.20517816666666,166.561252875,16.51499977083333,26,5,4,2023,28.486571166666664,77.40067085119048,7.700444055952381
200,Durgapur,28.64758295833333,75.50740970833333,23.360083041666662,33.96924558333333,0.0,0.0,0.0,0.0,1005.5125,995.2165970833332,3.0124999916666666,2.458333333333333,1.25,0.1666666666666666,5.289378241666667,9.97185605,196.181991125,197.62885466666668,13.859999916666666,27,5,5,2023,27.991928297619047,78.78667477380952,6.759176776785715
200,Durgapur,28.64758295833333,75.50740970833333,23.360083041666662,33.96924558333333,0.0,0.0,0.0,0.0,1005.5125,995.2165970833332,3.0124999916666666,2.458333333333333,1.25,0.1666666666666666,5.289378241666667,9.97185605,196.181991125,197.62885466666668,13.859999916666666,27,5,5,2023,27.497285428571427,80.17267869642856,5.817909497619048
40,Durgapur,28.64758295833333,75.50740970833333,23.360083041666662,33.96924558333333,0.0,0.0,0.0,0.0,1005.5125,995.2165970833332,3.0124999916666666,2.458333333333333,1.25,0.1666666666666666,5.289378241666667,9.97185605,196.181991125,197.62885466666668,13.859999916666666,27,5,5,2023,27.72734493452381,79.23962489880952,5.712203246428572
50,Durgapur,28.64758295833333,75.50740970833333,23.360083041666662,33.96924558333333,0.0,0.0,0.0,0.0,1005.5125,995.2165970833332,3.0124999916666666,2.458333333333333,1.25,0.1666666666666666,5.289378241666667,9.97185605,196.181991125,197.62885466666668,13.859999916666666,27,5,5,2023,27.95740444047619,78.30657110119047,5.606496995238096
60,Durgapur,28.64758295833333,75.50740970833333,23.360083041666662,33.96924558333333,0.0,0.0,0.0,0.0,1005.5125,995.2165970833332,3.0124999916666666,2.458333333333333,1.25,0.1666666666666666,5.289378241666667,9.97185605,196.181991125,197.62885466666668,13.859999916666666,27,5,5,2023,28.18746394642857,77.37351730357143,5.50079074404762
150,Durgapur,32.18508295833333,64.35114800000001,24.04966625,37.87760729166667,0.0,0.0,0.0,0.0,1005.4416666666666,995.2652270833332,28.8000008225,1.25,12.291666666666666,67.66666666666667,5.446852080833334,10.6349072375,223.19644,227.78522541666663,13.664999854166666,30,5,1,2023,28.922880595238095,74.84671183333333,5.417580755595239
